Rank,Symbol,RS,RM,Score,Quadrant
1,BAJAJ-AUTO,3.549,2.8678,3.2765,Leading
2,GRASIM,3.3477,2.6668,3.0753,Leading
3,M&M,1.7092,3.0777,2.2566,Leading
4,INDUSINDBK,2.1926,1.7031,1.9968,Leading
5,APOLLOHOSP,2.1771,0.7187,1.5937,Leading
6,DIVISLAB,2.0758,0.6029,1.4866,Leading
7,CIPLA,1.2983,1.2628,1.2841,Leading
8,ADANIPORTS,2.4194,-0.4946,1.2538,Weakening
9,ADANIENT,2.1342,-0.4098,1.1166,Weakening
10,MARUTI,0.4367,1.949,1.0416,Leading
11,SUNPHARMA,0.9917,0.8246,0.9249,Leading
12,BAJFINANCE,1.0063,0.7584,0.9071,Leading
13,TATASTEEL,1.3698,0.133,0.8751,Leading
14,RELIANCE,0.7789,0.8246,0.7972,Leading
15,SHREECEM,1.3939,-0.1364,0.7818,Weakening
16,ASIANPAINT,2.4424,-1.7943,0.7477,Weakening
17,JSWSTEEL,1.6507,-0.8501,0.6504,Weakening
18,NESTLEIND,2.0832,-1.5415,0.6333,Weakening
19,TATACONSUM,2.0578,-1.6914,0.5581,Weakening
20,NTPC,0.949,-0.2676,0.4624,Weakening
21,ULTRACEMCO,0.5389,0.3378,0.4585,Leading
22,TECHM,0.5801,0.2579,0.4512,Leading
23,HINDALCO,1.177,-0.7191,0.4186,Weakening
24,TITAN,1.3358,-1.0159,0.3951,Weakening
25,HINDUNILVR,0.9965,-0.6773,0.327,Weakening
26,HEROMOTOCO,-0.0692,0.9192,0.3262,Improving
27,EICHERMOT,0.1157,0.6405,0.3256,Leading
28,POWERGRID,0.605,-0.3064,0.2404,Weakening
29,COALINDIA,0.166,0.3492,0.2393,Leading
30,DRREDDY,0.1834,0.2939,0.2276,Leading
31,UPL,0.2031,0.2355,0.2161,Leading
32,KOTAKBANK,-0.47,0.9452,0.0961,Improving
33,LT,0.2651,-0.1773,0.0881,Weakening
34,BAJAJFINSV,-0.1731,0.2827,0.0092,Improving
35,HDFCLIFE,-0.4588,0.569,-0.0477,Improving
36,ITC,-0.2108,0.1315,-0.0739,Improving
37,BPCL,-0.6865,0.5265,-0.2013,Improving
38,ONGC,-0.1633,-0.3473,-0.2369,Lagging
39,SBILIFE,-0.8902,0.3573,-0.3912,Improving
40,BHARTIARTL,-0.8372,0.1485,-0.4429,Improving
41,HDFCBANK,-1.2762,0.5149,-0.5598,Improving
42,WIPRO,-0.5119,-1.1639,-0.7727,Lagging
43,HCLTECH,-1.5927,-0.4584,-1.139,Lagging
44,INFY,-1.4857,-0.7948,-1.2093,Lagging
45,AXISBANK,-0.9694,-1.8148,-1.3076,Lagging
46,BRITANNIA,-2.2819,-0.1418,-1.4259,Lagging
47,ICICIBANK,-1.9317,-2.0888,-1.9945,Lagging
48,TCS,-2.1406,-1.8257,-2.0146,Lagging
49,SBIN,-2.6123,-1.4427,-2.1445,Lagging
